n,x,y
1,0.8989898989898992,0.08502437497601813
2,-0.7171717171717171,-0.8006849329638656
3,0.8787878787878789,-0.2703093031204617
4,-0.7373737373737373,-0.7946026819864626
5,0.5757575757575759,-0.1437873103009424
6,0.8585858585858588,0.23081563030739777
7,-0.5757575757575757,-0.47864975852191327
8,0.39393939393939403,0.025129464238763055
9,1.0,0.6942533122540155
10,0.030303030303030498,-0.4974622886679035
11,-0.5555555555555556,-0.7033042106060395
12,0.7373737373737375,0.40888346557888006
13,-0.5959595959595959,-0.41166274873411846
14,-0.11111111111111105,-0.7113770531351586
15,0.9393939393939394,0.3826634137119456
16,-0.7575757575757576,-0.5913422200521379
17,0.09090909090909105,-0.4791746908609646
18,-0.010101010101010055,-0.2317625118114185
19,-0.2525252525252525,-0.22851692001098825
20,0.4343434343434345,-0.3708433782334206
